#,Name,Symbol,On Exchange,% Supply On Exchange,1D Change,1D Change %,7D Change,7D Change %,30D Change,30D Change %
1,Bitcoin,BTC,1212189.0,6.17,-784.76,-0.06,1618.98,0.13,-21872.78,-1.77
2,Ethereum,ETH,8592783.0,7.15,-59522.99,-0.69,-200045.19,-2.28,-660684.18,-7.14
3,Tether,USDT,5936649728.0,5.84,3356534072.0,130.09,3233135627.0,119.59,4477290489.0,306.8
4,Binance Coin,BNB,106169.0,0.07,68.0343,0.06,588.95,0.56,1360.65,1.3
5,XRP,XRP,94256488.0,0.09,-198764.66,-0.21,-613661.45,-0.65,-546514.45,-0.58
6,Lido stETH,STETH,98811.0,1.01,-626.21,-0.63,-1048.24,-1.05,-232.03,-0.23
7,USD Coin,USDC,92498606.0,0.33,-1810678739.0,-95.14,-384031903.0,-80.59,-16123037.65,-14.84
8,Cardano,ADA,10959169.0,0.03,-20200263.44,-64.83,-22923922.23,-67.66,-17760746.94,-61.84
9,Avalanche,AVAX,354266.0,0.08,7282.75,2.1,13057.62,3.83,-82067.2,-18.81
10,OKB,OKB,6361414.0,2.12,-8948.99,-0.14,-23157.51,-0.36,-122309.73,-1.89
11,Dogecoin,DOGE,155267329.0,0.11,276515.77,0.18,-485881.49,-0.31,2575062.19,1.69
12,TRON,TRX,184461058.0,0.21,-122882.51,-0.07,-1394025.32,-0.75,-1548678.38,-0.83
13,ChainLink,LINK,102957562.0,10.3,1013.72,0.0,-1077232.85,-1.04,5978232.19,6.16
14,Polkadot,DOT,4318680.0,0.31,-20782.97,-0.48,127520.93,3.04,71765.52,1.69
15,Polygon,MATIC,917447956.0,9.17,1561505.79,0.17,-18549232.49,-1.98,-1074442.42,-0.12
16,Uniswap,UNI,60622826.0,6.06,5681816.03,10.34,5838987.25,10.66,4064342.18,7.19
17,Wrapped Bitcoin,WBTC,5085.29,3.24,117.6,2.37,-240.54,-4.52,891.48,21.26
18,Toncoin,TON,1010356.0,0.02,17240.81,1.74,59584.13,6.27,263877.09,35.35
19,Dai,DAI,97546405.0,1.82,1075075.27,1.11,-4475687.68,-4.39,-10128369.18,-9.41
20,Shiba Inu,SHIB,115144044168256.0,11.51,-3357901290667.0,-2.83,522851161724.0,0.46,2421775496420.0,2.15
21,Bitcoin Cash,BCH,43783.0,0.22,101.0,0.23,-518.0,-1.17,3265.29,8.06
22,Litecoin,LTC,312540.0,0.37,1952.29,0.63,-182.33,-0.06,-31663.79,-9.2
23,Immutable X,IMX,99569599.0,4.98,-91969.03,-0.09,92713.58,0.09,-968006.18,-0.96
24,Filecoin,FIL,2809413.0,0.24,21596.94,0.77,2013789.72,253.11,1461720.51,108.46
25,Cosmos,ATOM,523663.0,0.14,-14771.39,-2.74,-14783.4,-2.75,-8327.81,-1.57
26,Unus Sed LEO,LEO,654191423.0,66.4,3797.69,0.0,13296.73,0.0,117999.08,0.02
27,TrueUSD,TUSD,411644235.0,31.95,614636.39,0.15,2877832.65,0.7,18894434.25,4.81
28,Ethereum Classic,ETC,219854.0,0.1,-24873.98,-10.16,-25753.97,-10.49,-27218.86,-11.02
29,NEAR Protocol,NEAR,575681.0,0.05,40676.04,7.6,-177541.68,-23.57,-57952.41,-9.15
30,First Digital USD,FDUSD,3231025957.0,97.71,198361668.0,6.54,464214590.0,16.78,653024525.0,25.33
31,Injective Protocol,INJ,2552871.0,2.55,4482.89,0.18,208355.31,8.89,29460.96,1.17
32,Lido DAO Token,LDO,60859075.0,6.09,94160.19,0.15,1810946.47,3.07,1925249.33,3.27
33,Render Token,RNDR,88998749.0,16.76,1080.19,0.0,-707150.53,-0.79,6800005.16,8.27
34,Graph,GRT,1064816011.0,9.86,-6050452.11,-0.57,-30528134.8,-2.79,-34233712.33,-3.11
35,Cronos,CRO,2238179190.0,7.4,-750844.52,-0.03,-6941754.77,-0.31,50692205.25,2.32
36,Arbitrum,ARB,4865621.0,0.05,46584.4,0.97,-280918.48,-5.46,648411.56,15.38
37,Maker,MKR,62273.0,6.37,1599.94,2.64,3584.9,6.11,2034.42,3.38
38,Beam,BEAMX,8303158943.0,13.19,69769484.47,0.85,134914208.0,1.65,421403352.0,5.35
39,Aave,AAVE,3038720.0,18.99,43904.41,1.47,52792.48,1.77,366026.28,13.7
40,MultiversX(Elrond),EGLD,361651.0,1.36,535.15,0.15,-7077.11,-1.92,-6727.5,-1.83
41,StarkNet,STRK,3386863.0,0.03,525664.13,18.37,0.0,0.0,0.0,0.0
42,Axie Infinity,AXS,5116107.0,1.89,57733.09,1.14,249015.21,5.12,50252.7,0.99
43,Quant,QNT,1297370.0,8.72,15975.44,1.25,25003.31,1.97,52050.2,4.18
44,Synthetix,SNX,19807912.0,6.04,54985.87,0.28,2180208.2,12.37,4379191.06,28.38
45,Blur,BLUR,193504557.0,6.45,863319.22,0.45,2031908.01,1.06,-12378311.58,-6.01
46,The Sandbox,SAND,624402632.0,20.81,8614428.68,1.4,10654339.15,1.74,106383105.0,20.54
47,Fantom,FTM,651435605.0,20.52,1470651.74,0.23,682434.08,0.1,-1056661.2,-0.16
48,Chiliz,CHZ,3077873812.0,34.63,3168223.86,0.1,14360194.97,0.47,145301778.0,4.95
49,dYdX,DYDX,110279052.0,20.57,613634.44,0.56,1571819.11,1.45,-1506485.16,-1.35
50,Worldcoin,WLD,33823055.0,0.34,260608.32,0.78,14619.12,0.04,-156879.86,-0.46
51,Tezos,XTZ,408334.0,0.04,-73279.93,-15.22,-141434.94,-25.73,-117787.52,-22.39
52,ApeCoin,APE,91518701.0,9.15,-66778.75,-0.07,2626249.14,2.95,12921461.28,16.44
53,BitTorrent(new),BTT,18452027098989.0,1.86,705726653.0,0.0,16985165928.0,0.09,-2895021091.0,-0.02
54,Ocean Protocol,OCEAN,152445783.0,10.81,320662.42,0.21,4914977.28,3.33,8697888.48,6.05
55,KuCoin Token,KCS,74669814.0,43.89,-4.5e-05,0.0,0.0,0.0,0.0,0.0
56,SingularityNET,AGIX,378929146.0,33.97,3899549.65,1.04,16865708.86,4.66,17612940.3,4.87
57,Decentraland,MANA,441907272.0,20.15,1756203.3,0.4,988412.61,0.22,5462105.76,1.25
58,Conflux,CFX,573930691.0,11.54,57820219.57,11.2,57199184.49,11.07,53242312.18,10.23
59,WOO Network,WOO,637081103.0,28.56,3652365.43,0.58,8888706.11,1.41,6004395.28,0.95
60,Fetch.AI,FET,213856121.0,18.55,-6143148.96,-2.79,-7092411.48,-3.21,-1596688.7,-0.74
61,EOS,EOS,379309.0,0.03,5678.51,1.52,-92843.03,-19.66,117320.31,44.78
62,IOTA,MIOTA,13065622.0,0.41,-33931.31,-0.26,266133.1,2.08,-1505317.1,-10.33
63,Gala,GALA,23752506739.0,77.0,99915623.44,0.42,214745480.0,0.91,704838885.0,3.06
64,Gnosis,GNO,46389.0,0.46,381.49,0.83,2869.51,6.59,9547.79,25.92
65,PancakeSwap,CAKE,76437644.0,19.82,2504299.59,3.39,3165159.35,4.32,3097762.82,4.22
66,Luna Classic,LUNC,964134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Curve,CRV,271570923.0,13.04,12919038.63,4.99,18704747.56,7.4,50501508.48,22.84
68,Frax Share,FXS,6648832.0,6.67,110064.14,1.68,124486.05,1.91,586082.12,9.67
69,Ethereum Name Service,ENS,9819767.0,9.82,14453.37,0.15,101124.25,1.04,122328.74,1.26
70,PAX Gold,PAXG,32142.0,15.93,-138.35,-0.43,-1482.92,-4.41,-917.81,-2.78
71,Pendle Finance,PENDLE,47320022.0,18.31,603288.99,1.29,1332662.32,2.9,7985309.24,20.3
72,Jasmy,JASMY,14468316512.0,28.94,608288766.0,4.39,524053457.0,3.76,860507626.0,6.32
73,Nexo,NEXO,16333301.0,1.63,277563.57,1.73,-18410.39,-0.11,106054.6,0.65
74,Gemini Dollar,GUSD,8407843.0,26.79,-135006.65,-1.58,346118.34,4.29,417915.2,5.23
75,1inch Token,1INCH,198537129.0,13.24,4122211.71,2.12,6412974.38,3.34,2769769.01,1.41
76,FTX Token,FTT,45704263.0,13.9,17139.92,0.04,55935.92,0.12,-769127.36,-1.65
77,Ondo Finance,ONDO,510052744.0,5.1,-18486198.93,-3.5,-39318919.04,-7.16,-68189045.14,-11.79
78,Rocket Pool,RPL,442408.0,2.2,10800.83,2.5,35322.22,8.68,15109.78,3.54
79,IoTeX,IOTX,193490635.0,0.2,648704.69,0.34,11810882.61,6.5,17415084.91,9.89
80,Trust Wallet,TWT,14088869.0,1.41,-30456.09,-0.22,276215.21,2.0,710425.49,5.31
81,Compound,COMP,1506000.0,15.06,52464.16,3.61,30584.7,2.07,97762.33,6.94
82,ZetaChain,ZETA,10623904.0,0.51,399685.48,3.91,532872.62,5.28,0.0,0.0
83,Pepe,PEPE,186819704563489.0,44.41,1853429969026.0,1.0,2508452966634.0,1.36,17318963764376.0,10.22
84,Gatechain Token,GT,92283056.0,30.76,1494.06,0.0,1501.62,0.0,-2632674.92,-2.77
85,Enjin Coin,ENJ,116410552.0,11.64,878544.58,0.76,-94008.19,-0.08,-11609552.49,-9.07
86,Green Metaverse Token,GMT,349676069.0,6.46,1971145.61,0.57,1006967.1,0.29,38330142.7,12.31
