timestamp,holders,top 10 (%),top 20 (%),top 50 (%),top 100 (%)
1677283200,694,99.95,99.97,99.97,99.97
1677369600,697,99.95,99.97,99.97,99.97
1677456000,707,99.95,99.97,99.97,99.97
1677542400,711,99.92,99.97,99.97,99.97
1677628800,710,99.92,99.97,99.97,99.97
1677715200,716,99.92,99.97,99.97,99.97
1677801600,717,99.92,99.97,99.97,99.97
1677888000,722,99.93,99.96,99.96,99.96
1677974400,723,99.93,99.96,99.96,99.96
1678060800,725,99.92,99.96,99.96,99.96
1678147200,731,99.92,99.96,99.96,99.96
1678233600,734,99.92,99.96,99.96,99.96
1678320000,735,99.92,99.96,99.96,99.96
1678406400,734,99.92,99.96,99.96,99.96
1678492800,734,99.92,99.96,99.96,99.96
1678579200,733,99.92,99.96,99.96,99.96
1678665600,735,99.92,99.96,99.96,99.96
1678752000,741,99.92,99.96,99.96,99.96
1678838400,745,99.92,99.96,99.96,99.96
1678924800,744,99.92,99.96,99.96,99.96
1679011200,745,99.92,99.96,99.96,99.96
1679097600,745,99.92,99.96,99.96,99.96
1679184000,745,99.92,99.96,99.96,99.96
1679270400,744,99.95,99.98,99.98,99.98
1679356800,743,99.95,99.98,99.98,99.98
1679443200,747,99.95,99.98,99.98,99.98
1679529600,753,99.95,99.98,99.98,99.98
1679616000,758,99.95,99.98,99.98,99.98
1679702400,763,99.95,99.98,99.98,99.98
1679788800,766,99.94,99.97,99.97,99.97
1679875200,766,99.95,99.98,99.98,99.98
1679961600,765,99.95,99.98,99.98,99.98
1680048000,766,99.93,99.97,99.97,99.97
1680134400,768,99.16,99.97,99.97,99.97
1680220800,769,99.16,99.97,99.97,99.97
1680307200,771,99.16,99.97,99.97,99.97
1680393600,773,99.16,99.97,99.97,99.97
1680480000,775,99.16,99.97,99.97,99.97
1680566400,777,99.16,99.97,99.97,99.97
1680652800,779,99.16,99.97,99.97,99.97
1680739200,779,99.16,99.97,99.97,99.97
1680825600,782,99.16,99.97,99.97,99.97
1680912000,782,99.16,99.97,99.97,99.97
1680998400,782,99.16,99.97,99.97,99.97
1681084800,789,99.15,99.96,99.96,99.96
1681171200,786,99.14,99.96,99.96,99.96
1681257600,789,99.14,99.96,99.96,99.96
1681344000,792,99.14,99.96,99.96,99.96
1681430400,794,99.14,99.96,99.96,99.96
1681516800,795,99.41,99.99,99.99,99.99
1681603200,798,99.41,99.99,99.99,99.99
1681689600,799,99.41,99.99,99.99,99.99
1681776000,815,99.41,99.99,99.99,99.99
1681862400,818,99.41,99.99,99.99,99.99
1681948800,820,99.41,99.99,99.99,99.99
1682035200,821,99.41,99.99,99.99,99.99
1682121600,823,99.39,99.99,99.99,99.99
1682208000,826,99.39,99.99,99.99,99.99
1682294400,833,99.39,99.99,99.99,99.99
1682380800,835,99.64,99.99,99.99,99.99
1682467200,844,99.14,99.97,99.97,99.97
1682553600,848,99.13,99.97,99.97,99.97
1682640000,857,98.93,99.96,99.96,99.96
1682726400,865,98.93,99.96,99.96,99.96
1682812800,869,98.93,99.96,99.96,99.96
1682899200,872,98.93,99.96,99.96,99.96
1682985600,880,98.93,99.96,99.96,99.96
1683072000,884,98.93,99.96,99.96,99.96
1683158400,891,98.93,99.96,99.96,99.96
1683244800,893,98.93,99.96,99.96,99.96
1683331200,899,98.93,99.96,99.96,99.96
1683417600,899,98.93,99.96,99.96,99.96
1683504000,899,98.93,99.96,99.96,99.96
1683590400,908,99.18,99.96,99.96,99.96
1683676800,914,99.18,99.97,99.97,99.97
1683763200,914,99.18,99.96,99.96,99.96
1683849600,914,99.39,99.98,99.98,99.98
1683936000,919,99.39,99.98,99.98,99.98
1684022400,922,99.39,99.98,99.98,99.98
1684108800,927,99.39,99.98,99.98,99.98
1684195200,931,99.39,99.98,99.98,99.98
1684281600,936,99.38,99.97,99.97,99.97
